,Volcano_Number,Eruption_Number,Activity_Type,ExplosivityIndexMax,StartEvidenceMethod,StartDateYear,StartDateMonth,StartDateDay,EndDateYear,EndDateMonth,EndDateDay,StartDate,EndDate
241,300260,22310,Confirmed Eruption,2,Observations: Reported,2019,4,9,2021,3,20,2019-04-09,2021-03-20
242,300260,19484,Confirmed Eruption,1,Observations: Reported,2008,10,8,2009,4,16,2008-10-08,2009-04-16
243,300260,19485,Confirmed Eruption,2,Observations: Reported,2009,8,1,2010,12,20,2009-08-01,2010-12-20
244,300260,20992,Confirmed Eruption,2,Observations: Reported,2015,1,1,2015,5,10,2015-01-01,2015-05-10
245,300260,21095,Confirmed Eruption,3,Observations: Reported,2015,8,28,2018,7,14,2015-08-28,2018-07-14
246,300260,19478,Confirmed Eruption,2,Observations: Reported,2000,7,28,2000,9,22,2000-07-28,2000-09-22
247,300260,19479,Confirmed Eruption,2,Observations: Reported,2002,4,9,2002,6,9,2002-04-09,2002-06-09
248,300260,19480,Confirmed Eruption,2,Observations: Reported,2002,11,24,2004,4,8,2002-11-24,2004-04-08
249,300260,19481,Confirmed Eruption,1,Observations: Reported,2004,9,15,2004,9,15,2004-09-15,2004-09-15
250,300260,19482,Confirmed Eruption,2,Observations: Reported,2005,1,20,2005,4,7,2005-01-20,2005-04-07
251,300260,19483,Confirmed Eruption,2,Observations: Reported,2007,2,15,2007,7,15,2007-02-15,2007-07-15
252,300260,19472,Confirmed Eruption,3,Observations: Reported,1994,9,8,1995,1,14,1994-09-08,1995-01-14
253,300260,19473,Confirmed Eruption,2,Observations: Reported,1996,11,14,1997,3,20,1996-11-14,1997-03-20
254,300260,19474,Confirmed Eruption,1,Observations: Reported,1997,9,7,1997,9,26,1997-09-07,1997-09-26
255,300260,19475,Confirmed Eruption,2,Observations: Reported,1998,7,23,1998,9,2,1998-07-23,1998-09-02
256,300260,19476,Confirmed Eruption,2,Observations: Reported,1999,2,5,1999,7,12,1999-02-05,1999-07-12
257,300260,19477,Confirmed Eruption,2,Observations: Reported,2000,2,3,2000,2,8,2000-02-03,2000-02-08
258,300260,19466,Confirmed Eruption,3,Observations: Reported,1985,8,16,1986,1,21,1985-08-16,1986-01-21
259,300260,19467,Confirmed Eruption,2,Observations: Reported,1986,6,8,1986,7,11,1986-06-08,1986-07-11
260,300260,19468,Confirmed Eruption,4,Observations: Reported,1986,11,27,1990,9,16,1986-11-27,1990-09-16
261,300260,19469,Confirmed Eruption,2,Observations: Reported,1991,4,8,1991,6,24,1991-04-08,1991-06-24
262,300260,19470,Confirmed Eruption,2,Observations: Reported,1992,1,25,1992,5,25,1992-01-25,1992-05-25
263,300260,19471,Confirmed Eruption,2,Observations: Reported,1992,9,12,1993,9,12,1992-09-12,1993-09-12
264,300260,19460,Confirmed Eruption,3,Observations: Reported,1977,8,2,1980,3,12,1977-08-02,1980-03-12
265,300260,19461,Confirmed Eruption,1,Observations: Reported,1981,1,25,1981,8,4,1981-01-25,1981-08-04
266,300260,19463,Confirmed Eruption,1,Observations: Reported,1982,3,24,1982,5,2,1982-03-24,1982-05-02
267,300260,19464,Confirmed Eruption,2,Observations: Reported,1982,10,7,1983,6,27,1982-10-07,1983-06-27
268,300260,19465,Confirmed Eruption,3,Observations: Reported,1984,3,10,1985,1,28,1984-03-10,1985-01-28
269,300260,19456,Confirmed Eruption,2,Observations: Reported,1970,5,26,1970,12,27,1970-05-26,1970-12-27
270,300260,19457,Confirmed Eruption,1,Observations: Reported,1971,6,16,1971,7,16,1971-06-16,1971-07-16
271,300260,19458,Confirmed Eruption,1,Observations: Reported,1971,11,16,1973,12,16,1971-11-16,1973-12-16
272,300260,19459,Confirmed Eruption,3,Observations: Reported,1974,4,8,1974,12,16,1974-04-08,1974-12-16
273,300260,20783,Confirmed Eruption,2,Observations: Reported,2011,3,30,2011,7,3,2011-03-30,2011-07-03
274,300260,20785,Confirmed Eruption,1,Observations: Reported,2012,9,1,2013,1,28,2012-09-01,2013-01-28
275,300260,20786,Confirmed Eruption,3,Observations: Reported,2013,8,15,2013,12,20,2013-08-15,2013-12-20
276,300270,19594,Confirmed Eruption,4,Observations: Reported,1999,8,15,2024,12,19,1999-08-15,2024-12-19
277,300270,19583,Confirmed Eruption,3,Observations: Reported,1986,3,28,1988,2,28,1986-03-28,1988-02-28
278,300270,19584,Confirmed Eruption,2,Observations: Reported,1988,12,7,1988,12,7,1988-12-07,1988-12-07
279,300270,19585,Confirmed Eruption,3,Observations: Reported,1990,1,10,1995,2,16,1990-01-10,1995-02-16
280,300270,19586,Confirmed Eruption,2,Observations: Reported,1997,3,8,1997,4,4,1997-03-08,1997-04-04
281,300270,19587,Confirmed Eruption,3,Observations: Reported,1998,5,30,1998,9,3,1998-05-30,1998-09-03
282,300270,19588,Confirmed Eruption,2,Observations: Reported,1999,4,3,1999,4,12,1999-04-03,1999-04-12
283,300270,19580,Confirmed Eruption,1,Observations: Reported,1980,8,23,1981,12,1,1980-08-23,1981-12-01
284,300270,19581,Confirmed Eruption,2,Observations: Reported,1984,3,17,1984,9,6,1984-03-17,1984-09-06
285,300270,19582,Confirmed Eruption,2,Observations: Reported,1985,5,26,1985,10,25,1985-05-26,1985-10-25
286,300270,19567,Confirmed Eruption,2,Observations: Reported,1989,4,7,1989,6,26,1989-04-07,1989-06-26
349,284130,17597,Confirmed Eruption,2,Observations: Reported,1973,12,18,1974,2,16,1973-12-18,1974-02-16
350,284130,17598,Confirmed Eruption,2,Observations: Reported,1974,12,24,1975,11,13,1974-12-24,1975-11-13
351,284130,17600,Confirmed Eruption,2,Observations: Reported,1986,1,18,1986,3,28,1986-01-18,1986-03-28
352,284130,18467,Confirmed Eruption,1,Observations: Reported,2005,7,2,2005,7,21,2005-07-02,2005-07-21
