,Volcano_Number,Eruption_Number,Activity_Type,ExplosivityIndexMax,StartEvidenceMethod,StartDateYear,StartDateMonth,StartDateDay,EndDateYear,EndDateMonth,EndDateDay,StartDate,EndDate
543,357090,22336,Confirmed Eruption,2,Observations: Reported,2019,8,2,2019,11,12,2019-08-02,2019-11-12
544,357090,21098,Confirmed Eruption,2,Observations: Reported,2015,9,18,2017,2,22,2015-09-18,2017-02-22
545,357090,22232,Confirmed Eruption,1,Observations: Reported,2017,6,4,2018,12,7,2017-06-04,2018-12-07
546,357090,12008,Confirmed Eruption,2,Observations: Reported,1992,7,22,1993,7,2,1992-07-22,1993-07-02
547,357090,12009,Confirmed Eruption,2,Observations: Reported,1994,12,16,1994,12,16,1994-12-16,1994-12-16
548,357090,12010,Confirmed Eruption,2,Observations: Reported,1995,9,16,1995,9,16,1995-09-16,1995-09-16
549,357090,12011,Confirmed Eruption,2,Observations: Reported,2000,7,1,2000,10,18,2000-07-01,2000-10-18
550,357090,20954,Confirmed Eruption,1,Observations: Reported,2014,7,4,2014,12,2,2014-07-04,2014-12-02
551,357090,20760,Confirmed Eruption,2,Observations: Reported,2012,12,22,2013,12,10,2012-12-22,2013-12-10
552,357090,22507,Confirmed Eruption,2,Observations: Reported,2012,7,17,2012,7,19,2012-07-17,2012-07-19
553,357100,12016,Confirmed Eruption,3,Observations: Reported,1988,12,25,1990,1,24,1988-12-25,1990-01-24
554,357110,12074,Confirmed Eruption,1,Observations: Reported,2002,10,13,2002,10,13,2002-10-13,2002-10-13
555,357110,12075,Confirmed Eruption,2,Observations: Reported,2003,4,9,2003,4,16,2003-04-09,2003-04-16
556,357110,12076,Confirmed Eruption,2,Observations: Reported,2007,5,26,2007,8,8,2007-05-26,2007-08-08
557,357110,12077,Confirmed Eruption,3,Observations: Reported,2008,1,1,2009,6,12,2008-01-01,2009-06-12
558,357110,12068,Confirmed Eruption,1,Observations: Reported,1992,8,23,1992,9,2,1992-08-23,1992-09-02
559,357110,12069,Confirmed Eruption,2,Observations: Reported,1994,5,17,1994,8,30,1994-05-17,1994-08-30
560,357110,12070,Confirmed Eruption,2,Observations: Reported,1995,10,13,1995,10,22,1995-10-13,1995-10-22
561,357110,12071,Confirmed Eruption,1,Observations: Reported,1997,3,16,1997,10,16,1997-03-16,1997-10-16
562,357110,12072,Confirmed Eruption,2,Observations: Reported,1998,4,3,1998,4,23,1998-04-03,1998-04-23
563,357110,12073,Confirmed Eruption,2,Observations: Reported,1998,11,10,1998,11,10,1998-11-10,1998-11-10
564,357110,12064,Confirmed Eruption,2,Observations: Reported,1971,12,1,1972,3,12,1971-12-01,1972-03-12
565,357110,12065,Confirmed Eruption,2,Observations: Reported,1979,10,15,1979,11,28,1979-10-15,1979-11-28
566,357110,12066,Confirmed Eruption,2,Observations: Reported,1984,4,20,1984,11,26,1984-04-20,1984-11-26
567,357110,12067,Confirmed Eruption,1,Observations: Reported,1990,2,25,1990,11,25,1990-02-25,1990-11-25
568,357120,20837,Uncertain Eruption,1,Observations: Reported,2012,11,14,2012,11,14,2012-11-14,2012-11-14
569,357120,20838,Confirmed Eruption,1,Observations: Reported,2013,7,25,2013,7,29,2013-07-25,2013-07-29
570,357120,12184,Confirmed Eruption,1,Observations: Reported,2009,11,22,2012,4,20,2009-11-22,2012-04-20
571,357120,12178,Confirmed Eruption,1,Observations: Reported,1996,9,14,1997,8,16,1996-09-14,1997-08-16
572,357120,12179,Confirmed Eruption,1,Observations: Reported,1998,2,24,2002,6,16,1998-02-24,2002-06-16
573,357120,12180,Confirmed Eruption,1,Observations: Reported,2003,5,23,2004,3,25,2003-05-23,2004-03-25
574,357120,12181,Confirmed Eruption,1,Observations: Reported,2004,8,5,2007,12,24,2004-08-05,2007-12-24
575,357120,12182,Confirmed Eruption,1,Observations: Reported,2008,10,26,2008,10,26,2008-10-26,2008-10-26
