,Volcano_Number,Eruption_Number,Activity_Type,ExplosivityIndexMax,StartEvidenceMethod,StartDateYear,StartDateMonth,StartDateDay,EndDateYear,EndDateMonth,EndDateDay,StartDate,EndDate
1218,284040,18276,Confirmed Eruption,1.0,Observations: Reported,2005,4.0,12.0,2005.0,5.0,18.0,2005-04-12,2005-05-18
1219,284040,18277,Confirmed Eruption,1.0,Observations: Reported,2006,2.0,17.0,2006.0,2.0,17.0,2006-02-17,2006-02-17
1220,284040,18278,Confirmed Eruption,1.0,Observations: Reported,2006,8.0,23.0,2006.0,8.0,23.0,2006-08-23,2006-08-23
1221,284040,18272,Confirmed Eruption,3.0,Observations: Reported,1983,10.0,3.0,1983.0,10.0,4.0,1983-10-03,1983-10-04
1222,284070,18323,Confirmed Eruption,2.0,Observations: Reported,1970,1.0,29.0,1970.0,6.0,16.0,1970-01-29,1970-06-16
1223,300125,19125,Confirmed Eruption,3.0,Observations: Reported,1996,1.0,2.0,1996.0,1.0,3.0,1996-01-02,1996-01-03
1224,300120,20907,Confirmed Eruption,2.0,Observations: Reported,2013,10.0,23.0,2013.0,10.0,26.0,2013-10-23,2013-10-26
1225,300120,20908,Confirmed Eruption,3.0,Observations: Reported,2014,6.0,6.0,2015.0,8.0,6.0,2014-06-06,2015-08-06
1226,300120,22177,Confirmed Eruption,2.0,Observations: Reported,2016,11.0,20.0,2016.0,11.0,20.0,2016-11-20,2016-11-20
1227,300130,22265,Confirmed Eruption,3.0,Observations: Reported,2018,4.0,28.0,2018.0,9.0,30.0,2018-04-28,2018-09-30
1228,300130,22309,Confirmed Eruption,2.0,Observations: Reported,2019,2.0,16.0,2019.0,9.0,24.0,2019-02-16,2019-09-24
1229,300130,19184,Confirmed Eruption,3.0,Observations: Reported,1970,5.0,11.0,1982.0,10.0,11.0,1970-05-11,1982-10-11
1230,300130,19186,Confirmed Eruption,3.0,Observations: Reported,1996,1.0,2.0,2000.0,12.0,20.0,1996-01-02,2000-12-20
1231,300130,19187,Confirmed Eruption,3.0,Observations: Reported,2001,11.0,15.0,2016.0,4.0,1.0,2001-11-15,2016-04-01
1232,300130,22178,Confirmed Eruption,2.0,Observations: Reported,2016,10.0,5.0,2016.0,10.0,8.0,2016-10-05,2016-10-08
1233,300130,22230,Confirmed Eruption,3.0,Observations: Reported,2017,6.0,4.0,2018.0,9.0,30.0,2017-06-04,2018-09-30
1234,312131,20206,Confirmed Eruption,3.0,Observations: Reported,1977,3.0,30.0,1977.0,4.0,9.0,1977-03-30,1977-04-09
1235,312160,20236,Confirmed Eruption,3.0,Observations: Reported,1974,7.0,15.0,1974.0,7.0,15.0,1974-07-15,1974-07-15
1236,341040,20759,Confirmed Eruption,3.0,Observations: Reported,2013,1.0,6.0,2017.0,3.0,7.0,2013-01-06,2017-03-07
1237,341040,10471,Confirmed Eruption,1.0,Observations: Reported,1987,7.0,2.0,1987.0,7.0,2.0,1987-07-02,1987-07-02
1238,341040,10472,Uncertain Eruption,2.0,unknown,1988,6.0,15.0,1988.0,6.0,15.0,1988-06-15,1988-06-15
1239,341040,10473,Confirmed Eruption,2.0,Observations: Reported,1991,3.0,1.0,1991.0,10.0,16.0,1991-03-01,1991-10-16
1240,341040,10474,Confirmed Eruption,1.0,Observations: Reported,1994,7.0,21.0,1994.0,7.0,21.0,1994-07-21,1994-07-21
1241,341040,10475,Confirmed Eruption,3.0,Observations: Reported,1997,11.0,22.0,2011.0,6.0,21.0,1997-11-22,2011-06-21
1242,341040,22323,Confirmed Eruption,1.0,Observations: Reported,2019,5.0,11.0,2019.0,7.0,12.0,2019-05-11,2019-07-12
1243,341040,10467,Confirmed Eruption,1.0,Observations: Reported,1963,7.0,2.0,1970.0,7.0,2.0,1963-07-02,1970-07-02
1244,341040,10468,Uncertain Eruption,1.0,unknown,1973,1.0,30.0,1973.0,1.0,30.0,1973-01-30,1973-01-30
1245,341040,10469,Confirmed Eruption,2.0,Observations: Reported,1975,12.0,11.0,1976.0,6.0,20.0,1975-12-11,1976-06-20
1246,341040,10470,Confirmed Eruption,1.0,Observations: Reported,1985,7.0,2.0,1986.0,1.0,5.0,1985-07-02,1986-01-05
1247,341040,10460,Confirmed Eruption,1.0,Observations: Reported,1977,12.0,16.0,1982.0,6.0,16.0,1977-12-16,1982-06-16
1248,341040,10461,Uncertain Eruption,1.0,unknown,1983,2.0,11.0,1983.0,2.0,15.0,1983-02-11,1983-02-15
1249,357010,11899,Confirmed Eruption,2.0,Observations: Reported,1987,11.0,28.0,1987.0,11.0,30.0,1987-11-28,1987-11-30
1250,357010,20561,Confirmed Eruption,2.0,Observations: Reported,1980,1.0,10.0,1980.0,1.0,11.0,1980-01-10,1980-01-11
1251,357010,11898,Confirmed Eruption,1.0,Observations: Reported,1986,1.0,20.0,1986.0,1.0,20.0,1986-01-20,1986-01-20
