,Volcano_Number,Eruption_Number,Activity_Type,ExplosivityIndexMax,StartEvidenceMethod,StartDateYear,StartDateMonth,StartDateDay,EndDateYear,EndDateMonth,EndDateDay,StartDate,EndDate
291,341120,10610,Confirmed Eruption,5,Observations: Reported,1982,3,28,1982,9,11,1982-03-28,1982-09-11
292,341130,10621,Confirmed Eruption,1,Observations: Reported,1986,2,16,1986,6,16,1986-02-16,1986-06-16
432,352050,21088,Confirmed Eruption,2,Observations: Reported,2015,8,14,2016,1,24,2015-08-14,2016-01-24
433,352080,22214,Confirmed Eruption,2,Observations: Reported,2011,4,20,2011,5,26,2011-04-20,2011-05-26
434,352080,22215,Confirmed Eruption,3,Observations: Reported,2012,12,14,2016,3,16,2012-12-14,2016-03-16
435,352080,11642,Uncertain Eruption,1,unknown,1993,5,6,1993,5,6,1993-05-06,1993-05-06
436,352080,11643,Confirmed Eruption,3,Observations: Reported,1999,10,5,2009,7,8,1999-10-05,2009-07-08
437,352080,11644,Confirmed Eruption,3,Observations: Reported,2010,1,1,2010,8,1,2010-01-01,2010-08-01
438,352080,11645,Confirmed Eruption,3,Observations: Reported,2010,11,22,2011,1,2,2010-11-22,2011-01-02
439,352090,22231,Confirmed Eruption,2,Observations: Reported,2017,7,20,2017,10,19,2017-07-20,2017-10-19
440,352090,22234,Confirmed Eruption,2,Observations: Reported,2011,6,6,2012,9,19,2011-06-06,2012-09-19
441,352090,22235,Confirmed Eruption,2,Observations: Reported,2013,1,25,2013,5,24,2013-01-25,2013-05-24
442,352090,22236,Confirmed Eruption,2,Observations: Reported,2015,1,18,2015,4,7,2015-01-18,2015-04-07
443,352090,22237,Confirmed Eruption,2,Observations: Satellite (infrared),2016,3,17,2016,11,17,2016-03-17,2016-11-17
444,352090,11648,Confirmed Eruption,3,Observations: Reported,1934,8,8,2011,3,2,1934-08-08,2011-03-02
445,352090,22259,Confirmed Eruption,1,Observations: Reported,2018,2,25,2018,2,25,2018-02-25,2018-02-25
446,352090,22283,Confirmed Eruption,2,Observations: Reported,2018,8,8,2018,12,7,2018-08-08,2018-12-07
447,352090,22312,Confirmed Eruption,2,Observations: Reported,2019,3,26,2024,12,19,2019-03-26,2024-12-19
482,343100,22154,Confirmed Eruption,1,Observations: Reported,2016,6,18,2016,6,18,2016-06-18,2016-06-18
483,343100,22192,Confirmed Eruption,1,Observations: Reported,2017,1,7,2017,1,7,2017-01-07,2017-01-07
484,343100,22233,Confirmed Eruption,1,Observations: Reported,2015,8,13,2015,8,13,2015-08-13,2015-08-13
485,343100,20906,Confirmed Eruption,3,Observations: Reported,2013,12,29,2014,7,28,2013-12-29,2014-07-28
486,343100,20994,Confirmed Eruption,1,Observations: Reported,2015,1,26,2015,4,11,2015-01-26,2015-04-11
487,343100,22117,Confirmed Eruption,1,Observations: Reported,2016,1,12,2016,1,18,2016-01-12,2016-01-18
488,343100,10863,Confirmed Eruption,1,Observations: Reported,1985,11,16,1986,2,16,1985-11-16,1986-02-16
489,343100,10864,Confirmed Eruption,1,Observations: Reported,1995,1,12,1995,4,19,1995-01-12,1995-04-19
490,343100,10865,Confirmed Eruption,1,Observations: Reported,1997,12,31,1997,12,31,1997-12-31,1997-12-31
491,343100,10866,Confirmed Eruption,1,Observations: Reported,2002,1,16,2002,1,16,2002-01-16,2002-01-16
492,343100,22251,Confirmed Eruption,1,Observations: Reported,2018,1,14,2018,3,4,2018-01-14,2018-03-04
493,343100,10861,Confirmed Eruption,1,Observations: Reported,1970,3,30,1970,4,5,1970-03-30,1970-04-05
